Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary,Female AP Enrollment,Male AP Enrollment,Total AP Enrollment
2820,SILVERTON 1,0.01,16,0.603,73,0.6,0.33299999999999996,1.0,7.256666666666668,0.0,11,10.91,45589.0,0,0,0
2830,TELLURIDE R-1,0.01,16,0.23199999999999998,900,0.934,0.92,0.9440000000000001,11.655000000000001,0.06172839506172845,81,76.6,56703.0,117,129,246
2840,NORWOOD R-2J,0.01,16,0.498,223,0.909,0.917,0.9,11.69,0.0,23,20.5,43609.0,0,0,0
2862,JULESBURG RE-1,0.01,16,0.55,589,0.483,0.467,0.5,17.006666666666668,0.0,38,36.01,42056.0,17,1,18
3000,SUMMIT RE-1,0.01,16,0.324,3398,0.9009999999999999,0.9309999999999999,0.8759999999999999,13.991111111111113,0.06617647058823528,272,248.92,55040.0,87,56,143
3010,CRIPPLE CREEK-VICTOR RE-1,0.01,16,0.701,344,0.625,0.889,0.467,13.005,0.032258064516129004,31,29.91,38595.0,23,6,29
3020,WOODLAND PARK RE-2,0.01,16,0.31,2372,0.8009999999999999,0.845,0.76,17.672,0.021126760563380254,142,139.98,45295.0,83,63,146
3030,AKRON R-1,0.01,16,0.503,362,0.789,0.75,0.818,12.845,0.03448275862068961,29,28.42,38851.0,0,0,0
3040,ARICKAREE R-2,0.01,16,0.451,91,1.0,1.0,1.0,7.345,0.06666666666666665,15,13.1,34697.0,0,0,0
3050,OTIS R-3,0.01,16,0.496,226,1.0,1.0,1.0,12.469999999999999,0.0,22,19.26,34822.0,0,1,1
3060,LONE STAR 101,0.01,16,0.48700000000000004,115,1.0,1.0,1.0,8.463333333333333,0.0,17,14.74,35140.0,0,0,0
3070,WOODLIN R-104,0.01,16,0.49,98,1.0,1.0,1.0,9.47,0.0,13,12.11,26649.0,0,0,0
3080,WELD COUNTY RE-1,0.01,16,0.545,1879,0.805,0.882,0.746,15.53,0.1470588235294118,136,133.62,45615.0,68,25,93
3085,EATON RE-2,0.01,16,0.327,1878,0.9279999999999999,0.9440000000000001,0.915,15.836000000000002,0.04166666666666663,120,116.31,45515.0,0,0,0
3100,WINDSOR RE-4,0.01,16,0.163,5881,0.9059999999999999,0.946,0.8640000000000001,17.662,0.046511627906976716,344,334.91,48273.0,247,139,386
3110,JOHNSTOWN-MILLIKEN RE-5J,0.01,16,0.285,3697,0.862,0.904,0.8220000000000001,20.158333333333335,0.06282722513089001,191,189.77,52097.0,0,0,0
3120,GREELEY 6,0.01,16,0.654,21938,0.7709999999999999,0.8079999999999999,0.7340000000000001,20.852580645161293,0.12962962962962965,1242,1213.72,49386.0,1014,792,1806
3130,PLATTE VALLEY RE-7,0.01,16,0.375,1108,0.963,0.9740000000000001,0.9520000000000001,13.653333333333334,0.024691358024691357,81,80.5,48191.0,0,0,0
3140,WELD COUNTY S/D RE-8,0.01,16,0.603,2209,0.741,0.823,0.6709999999999999,17.582,0.2222222222222222,144,139.47,47093.0,153,73,226
3145,AULT-HIGHLAND RE-9,0.01,16,0.47,853,0.961,1.0,0.929,14.293333333333335,0.12903225806451613,62,59.16,40146.0,16,8,24
3146,BRIGGSDALE RE-10,0.01,16,0.32299999999999995,167,0.9329999999999999,1.0,0.889,9.58,0.0,19,18.92,38415.0,0,0,0
3147,PRAIRIE RE-11,0.01,16,0.29600000000000004,203,0.917,0.889,1.0,11.864999999999998,0.050000000000000044,20,18.29,41549.0,0,0,0
3148,PAWNEE RE-12,0.01,16,0.419,74,1.0,1.0,1.0,5.65,0.0,14,13.62,38348.0,0,0,0
3200,YUMA 1,0.01,16,0.618,759,0.8909999999999999,0.9670000000000001,0.8,20.8375,0.045454545454545414,66,65.21,42629.0,0,0,0
3210,WRAY RD-2,0.01,16,0.573,628,0.863,0.862,0.8640000000000001,13.353333333333333,0.020000000000000018,50,49.28,37037.0,0,0,0
3220,IDALIA RJ-3,0.01,16,0.568,206,0.889,0.833,1.0,13.535,0.0,18,16.4,40156.0,0,0,0
3230,LIBERTY J-4,0.01,16,0.308,65,0.889,1.0,0.667,8.65,0.0,10,9.25,36845.0,0,0,0
8001,CHARTER SCHOOL INSTITUTE,0.01,16,0.44,16201,0.498,0.53,0.466,18.62975,0.1638297872340425,940,873.12,41051.0,57,52,109
9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,0.01,16,0.634,194,0.19,0.222,0.16699999999999998,5.59,0.05405405405405406,37,36.31,51534.0,0,0,0
10,MAPLETON 1,0.688,15,0.627,8297,0.5710000000000001,0.612,0.524,19.793999999999997,0.13583138173302112,427,422.95,49527.57,0,0,0
20,ADAMS 12 FIVE STAR SCHOOLS,0.491,15,0.39299999999999996,38205,0.777,0.8240000000000001,0.7340000000000001,19.688269230769233,0.11415094339622645,2120,2063.74,57561.38,1044,857,1901
30,ADAMS COUNTY 14,0.8759999999999999,15,0.8540000000000001,7003,0.642,0.747,0.5539999999999999,20.438461538461542,0.2233502538071066,394,387.86,52461.61,197,108,305
